Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-20 22:00:00,228.16909539116756,228.96619570832803,223.7850664519208,224.18360900878903,178998,0.0,0.0
2025-05-21 22:00:00,223.2868813449305,223.2868813449305,216.8104659535287,219.2017517089844,279233,0.0,0.0
2025-05-22 22:00:00,220.69630872964285,220.79595197070984,212.3267933964346,217.4082794189453,262748,0.0,0.0
2025-05-25 22:00:00,219.6999341535781,220.6963057370411,217.8068342263681,219.3013916015625,137938,0.0,0.0
2025-05-26 22:00:00,220.69630231445063,221.0948448602857,217.90645888333495,219.4010162353516,220776,0.0,0.0
2025-05-27 22:00:00,220.6963089470823,220.79595218824744,217.80683739438172,218.30502319335935,338354,0.0,0.0
2025-05-28 22:00:00,224.7814371108126,229.36473730939403,218.0061072483184,219.69993591308597,527755,0.0,0.0
2025-05-29 22:00:00,219.69993787787945,224.58215263824047,218.6039230361213,220.99522399902344,690726,0.0,0.0
2025-06-01 22:00:00,218.8032044062231,227.1727195722524,217.6075463509986,220.69630432128903,321324,0.0,0.0
2025-06-02 22:00:00,222.78868905367057,235.9407907322809,218.40464502518472,235.64187622070312,777763,0.0,0.0
2025-06-03 22:00:00,236.93717306122832,259.554805678518,233.7487869342692,256.9642333984375,1207638,0.0,0.0
2025-06-04 22:00:00,254.07475534092964,262.6435570926208,249.19254063339508,258.06024169921875,931887,0.0,0.0
2025-06-05 22:00:00,255.17076529663956,266.92793766627153,250.48780675236307,266.3301086425781,660478,0.0,0.0
2025-06-08 22:00:00,266.33011561026103,270.51488847874884,262.3446292238338,267.027587890625,437638,0.0,0.0
2025-06-09 22:00:00,266.230482905723,269.418853532789,263.63991086652544,268.5221252441406,313091,0.0,0.0
2025-06-10 22:00:00,265.03483462838733,267.32647705078125,260.05297683462067,267.32647705078125,287919,0.0,0.0
2025-06-11 22:00:00,267.1272380837794,273.802909710674,263.24139483725133,267.7250671386719,371599,0.0,0.0
2025-06-12 22:00:00,263.0420921860586,270.0166931152344,262.3446199304022,270.0166931152344,276632,0.0,0.0
2025-06-15 22:00:00,270.01668467115496,272.0094277314587,262.24499889870884,263.9388122558594,197276,0.0,0.0
2025-06-16 22:00:00,263.6399234639601,266.0312091502332,256.0674934517226,265.4333801269531,192253,0.0,0.0
2025-06-17 22:00:00,265.0348284275261,269.3192138671875,263.44062788945,269.3192138671875,181753,0.0,0.0
2025-06-19 22:00:00,269.2196248455968,271.7105539044685,267.2268815984994,269.5185241699219,568628,0.0,0.0
2025-06-22 22:00:00,266.3300928890231,272.60725165623586,263.9388073425425,270.41522216796875,218537,0.0,0.0
2025-06-23 22:00:00,274.0021940590679,277.98768051810885,273.30472176599625,274.9985656738281,329345,0.0,0.0
2025-06-24 22:00:00,275.4967479707253,276.9913053738215,272.60727640610907,274.20147705078125,252372,0.0,0.0
2025-06-25 22:00:00,274.30107639349086,275.6960208932462,270.9134191944709,274.6000061035156,158189,0.0,0.0
2025-06-26 22:00:00,278.0,278.6000061035156,271.1000061035156,275.29998779296875,168775,1.0,0.0
2025-06-29 22:00:00,276.0,286.6000061035156,276.0,280.79998779296875,301069,0.0,0.0
2025-06-30 22:00:00,278.0,282.3999938964844,274.3999938964844,276.0,166155,0.0,0.0
2025-07-01 22:00:00,275.1000061035156,275.70001220703125,267.29998779296875,269.79998779296875,197843,0.0,0.0
2025-07-02 22:00:00,267.70001220703125,273.79998779296875,267.6000061035156,269.5,126223,0.0,0.0
2025-07-03 22:00:00,269.8999938964844,270.1000061035156,267.1000061035156,269.8999938964844,142962,0.0,0.0
2025-07-06 22:00:00,272.0,278.0,269.20001220703125,274.0,150786,0.0,0.0
