Date,Close,High,Low,Open,Volume
1986-03-13,0.059253398329019547,0.061899084817385444,0.053963242304772695,0.053963242304772695,1031788800
1986-03-14,0.06136950105428696,0.062428141430833195,0.0592534372544789,0.0592534372544789,308160000
1986-03-17,0.06242809072136879,0.0629571062416089,0.06136945120474062,0.06136945120474062,133171200
1986-03-18,0.06084039807319641,0.06295706732178788,0.06031138287999149,0.06242805212858296,67766400
1986-03-19,0.059782400727272034,0.06136944718401425,0.05925338524169129,0.06084043169843351,47894400
1986-03-20,0.058195386081933975,0.05978243340620552,0.0576663703071768,0.05978243340620552,58435200
1986-03-21,0.056608326733112335,0.05925340504503961,0.05555029540834143,0.05819537372026871,59990400
1986-03-24,0.0550212636590004,0.056608310182140756,0.05449224815128694,0.056608310182140756,65289600
1986-03-25,0.05607931315898895,0.05607931315898895,0.05449226611273468,0.05502128179481944,32083200
1986-03-26,0.05766637623310089,0.0581953920622209,0.05555031291662083,0.05607932874574085,22752000
1986-03-27,0.05872436985373497,0.05872436985373497,0.0576663388808146,0.0576663388808146,16848000
1986-03-31,0.058195386081933975,0.05872440185669116,0.05713735453241962,0.05872440185669116,12873600
1986-04-01,0.05766637623310089,0.0581953920622209,0.05766637623310089,0.0581953920622209,11088000
1986-04-02,0.058195386081933975,0.059253417631448334,0.0576663703071768,0.0576663703071768,27014400
1986-04-03,0.05872436985373497,0.06031141631311552,0.05872436985373497,0.05872436985373497,23040000
1986-04-04,0.05872436985373497,0.059253385340195155,0.05872436985373497,0.05872436985373497,26582400
1986-04-07,0.05766637623310089,0.059253423720460933,0.05660834457486086,0.05872440789134092,16560000
1986-04-08,0.058195386081933975,0.059253417631448334,0.0576663703071768,0.0576663703071768,10252800
1986-04-09,0.059253398329019547,0.05978241393144423,0.05819536712417017,0.05819536712417017,12153600
1986-04-10,0.059782400727272034,0.06031141621285277,0.05819535427052981,0.05925338524169129,13881600
1986-04-11,0.06084039807319641,0.06189903693537804,0.06031138287999149,0.06031138287999149,17222400
1986-04-14,0.06136950105428696,0.06189912548088118,0.06084048510433494,0.06084048510433494,12153600
1986-04-15,0.06136950105428696,0.06136950105428696,0.0592534372544789,0.06136950105428696,9302400
1986-04-16,0.06348612159490585,0.06401513711375487,0.060840435524514444,0.06136945104336346,31910400
1986-04-17,0.06401516497135162,0.06401516497135162,0.06348614922228986,0.06348614922228986,22003200
1986-04-18,0.06189907714724541,0.06401513929473518,0.06136945313420588,0.06401513929473518,21628800
1986-04-21,0.06189907714724541,0.06242809268411784,0.060311422060460994,0.0618990771472454,22924800
