Datetime,Adj Close,Close,High,Low,Open,Volume,Ticker
2026-03-22 00:00:00+00:00,68908.2109375,68908.2109375,69084.8046875,68339.5859375,68903.21875,0,BTC-USD
2026-03-22 01:00:00+00:00,68959.234375,68959.234375,69074.5390625,68802.9453125,68942.6171875,723529728,BTC-USD
2026-03-22 02:00:00+00:00,69313.6015625,69313.6015625,69336.53125,68959.140625,68963.9609375,459825152,BTC-USD
2026-03-22 03:00:00+00:00,69332.0703125,69332.0703125,69552.2734375,69138.40625,69279.0546875,666935296,BTC-USD
2026-03-22 04:00:00+00:00,69322.4296875,69322.4296875,69494.2578125,69207.5078125,69336.1171875,283357184,BTC-USD
2026-03-22 05:00:00+00:00,69147.1796875,69147.1796875,69341.4453125,69147.1796875,69341.4453125,0,BTC-USD
2026-03-22 06:00:00+00:00,69151.9140625,69151.9140625,69219.9765625,69062.5078125,69146.0546875,0,BTC-USD
2026-03-22 07:00:00+00:00,68923.3125,68923.3125,69216.1171875,68923.3125,69152.8359375,14460928,BTC-USD
2026-03-22 08:00:00+00:00,68805.8203125,68805.8203125,68971.8046875,68628.953125,68907.0234375,513187840,BTC-USD
2026-03-22 09:00:00+00:00,68817.265625,68817.265625,68857.0625,68608.9453125,68799.2734375,329285632,BTC-USD
2026-03-22 10:00:00+00:00,68659.65625,68659.65625,68820.3828125,68606.4296875,68820.3828125,7567360,BTC-USD
2026-03-22 11:00:00+00:00,68216.140625,68216.140625,68671.8671875,68216.140625,68647.453125,857841664,BTC-USD
2026-03-22 12:00:00+00:00,68656.21875,68656.21875,68733.0703125,68213.7421875,68213.7421875,708227072,BTC-USD
2026-03-22 13:00:00+00:00,68732.0625,68732.0625,68918.75,68564.640625,68653.9453125,488226816,BTC-USD
2026-03-22 14:00:00+00:00,68705.0546875,68705.0546875,68897.8046875,68574.5625,68709.0859375,0,BTC-USD
2026-03-22 15:00:00+00:00,68828.15625,68828.15625,68940.5703125,68708.7421875,68708.7421875,33644544,BTC-USD
2026-03-22 16:00:00+00:00,68829.7109375,68829.7109375,68860.4921875,68698.125,68843.4296875,0,BTC-USD
2026-03-22 17:00:00+00:00,68722.84375,68722.84375,68852.375,68684.703125,68816.875,0,BTC-USD
2026-03-22 18:00:00+00:00,68572.1953125,68572.1953125,68734.703125,68438.71875,68688.203125,317104128,BTC-USD
2026-03-22 19:00:00+00:00,68184.2890625,68184.2890625,68610.453125,68156.375,68610.453125,1097996288,BTC-USD
2026-03-22 20:00:00+00:00,68189.2109375,68189.2109375,68489.1875,68123.078125,68194.046875,0,BTC-USD
2026-03-22 21:00:00+00:00,67833.8359375,67833.8359375,68192.7578125,67408.296875,68185.515625,1641764864,BTC-USD
2026-03-22 22:00:00+00:00,68296.4609375,68296.4609375,68364.6640625,67619.6875,67877.453125,935120896,BTC-USD
2026-03-22 23:00:00+00:00,67843.0,67843.0,68411.7734375,67843.0,68316.71875,0,BTC-USD
2026-03-23 00:00:00+00:00,67718.25,67718.25,68130.328125,67466.7109375,67854.984375,0,BTC-USD
2026-03-23 01:00:00+00:00,67924.46875,67924.46875,68129.265625,67583.265625,67678.8125,0,BTC-USD
2026-03-23 02:00:00+00:00,68289.7109375,68289.7109375,68319.953125,67820.4609375,67915.34375,168857600,BTC-USD
2026-03-23 03:00:00+00:00,68068.9921875,68068.9921875,68565.7421875,68062.515625,68371.6953125,0,BTC-USD
2026-03-23 04:00:00+00:00,68513.8515625,68513.8515625,68513.8515625,68069.9375,68072.1796875,0,BTC-USD
2026-03-23 05:00:00+00:00,68845.609375,68845.609375,68850.125,68518.7734375,68518.7734375,1175013376,BTC-USD
2026-03-23 06:00:00+00:00,67806.609375,67806.609375,68877.9765625,67741.265625,68877.9765625,1326714880,BTC-USD
2026-03-23 07:00:00+00:00,68311.0390625,68311.0390625,68414.875,67543.046875,67852.125,1792518144,BTC-USD
2026-03-23 08:00:00+00:00,68446.6875,68446.6875,68641.5234375,68303.515625,68303.515625,830390272,BTC-USD
2026-03-23 09:00:00+00:00,68247.9609375,68247.9609375,68417.78125,67922.8515625,68417.78125,183115776,BTC-USD
2026-03-23 10:00:00+00:00,68549.3203125,68549.3203125,68670.203125,68291.34375,68321.6484375,251672576,BTC-USD
2026-03-23 11:00:00+00:00,70063.984375,70063.984375,71401.8515625,68534.1796875,68534.1796875,8296083456,BTC-USD
2026-03-23 12:00:00+00:00,70583.1953125,70583.1953125,70828.5546875,69731.46875,70037.7265625,2469158912,BTC-USD
2026-03-23 13:00:00+00:00,71410.3125,71410.3125,71525.5546875,70629.4921875,70719.125,2172608512,BTC-USD
2026-03-23 14:00:00+00:00,71365.3203125,71365.3203125,71696.078125,71190.4140625,71539.640625,1883529216,BTC-USD
2026-03-23 15:00:00+00:00,70131.59375,70131.59375,71623.90625,70131.59375,71466.0078125,1987919872,BTC-USD
2026-03-23 16:00:00+00:00,70545.265625,70545.265625,70680.6640625,70107.0390625,70107.0390625,2353709056,BTC-USD
2026-03-23 17:00:00+00:00,71083.4921875,71083.4921875,71098.25,70419.9296875,70561.5625,1485176832,BTC-USD
2026-03-23 18:00:00+00:00,71056.4375,71056.4375,71154.96875,70879.5078125,71067.3984375,173412352,BTC-USD
2026-03-23 19:00:00+00:00,70651.0703125,70651.0703125,71170.8671875,70651.0703125,71075.15625,0,BTC-USD
2026-03-23 20:00:00+00:00,70899.6640625,70899.6640625,70952.390625,70596.671875,70679.421875,1178009600,BTC-USD
2026-03-23 21:00:00+00:00,70889.0078125,70889.0078125,70972.8046875,70818.7265625,70893.953125,0,BTC-USD
2026-03-23 22:00:00+00:00,70759.2578125,70759.2578125,70827.125,70535.609375,70827.125,0,BTC-USD
2026-03-23 23:00:00+00:00,70912.671875,70912.671875,70919.921875,70406.1171875,70783.0,36675584,BTC-USD
2026-03-24 00:00:00+00:00,70694.296875,70694.296875,71001.640625,70510.125,70898.6640625,0,BTC-USD
2026-03-24 01:00:00+00:00,70505.296875,70505.296875,70823.09375,70400.546875,70648.890625,0,BTC-USD
2026-03-24 02:00:00+00:00,70444.484375,70444.484375,70656.46875,70424.046875,70499.40625,0,BTC-USD
2026-03-24 03:00:00+00:00,70523.75,70523.75,70554.234375,70397.609375,70440.03125,0,BTC-USD
2026-03-24 04:00:00+00:00,70376.3203125,70376.3203125,70671.8046875,70270.3984375,70523.875,0,BTC-USD
2026-03-24 05:00:00+00:00,70260.484375,70260.484375,70362.28125,70129.859375,70362.28125,748859392,BTC-USD
2026-03-24 06:00:00+00:00,70518.46875,70518.46875,70522.984375,70254.359375,70263.3984375,0,BTC-USD
2026-03-24 07:00:00+00:00,71331.5,71331.5,71331.5,70489.46875,70518.859375,0,BTC-USD
2026-03-24 08:00:00+00:00,70915.6640625,70915.6640625,71277.5234375,70863.7890625,71277.5234375,0,BTC-USD
2026-03-24 09:00:00+00:00,71307.640625,71307.640625,71318.828125,70860.8984375,70954.3125,47820800,BTC-USD
2026-03-24 10:00:00+00:00,71262.15625,71262.15625,71307.2578125,71110.4140625,71302.625,152907776,BTC-USD
2026-03-24 11:00:00+00:00,71123.2421875,71123.2421875,71291.578125,70994.4375,71264.0703125,0,BTC-USD
2026-03-24 12:00:00+00:00,70936.03125,70936.03125,71143.7421875,70869.4453125,71143.7421875,0,BTC-USD
2026-03-24 13:00:00+00:00,70017.3828125,70017.3828125,71020.2265625,70017.3828125,70940.84375,0,BTC-USD
2026-03-24 14:00:00+00:00,69906.9375,69906.9375,70423.1796875,69515.4765625,70070.2578125,138326016,BTC-USD
2026-03-24 15:00:00+00:00,69875.765625,69875.765625,70193.4921875,69795.5703125,69833.625,0,BTC-USD
2026-03-24 16:00:00+00:00,69452.984375,69452.984375,69945.90625,69383.1484375,69869.234375,0,BTC-USD
2026-03-24 17:00:00+00:00,69221.265625,69221.265625,69479.46875,68934.4375,69441.28125,604794880,BTC-USD
2026-03-24 18:00:00+00:00,69419.03125,69419.03125,69702.84375,69207.4375,69284.5390625,506191872,BTC-USD
2026-03-24 19:00:00+00:00,69297.703125,69297.703125,69648.640625,69276.390625,69410.4375,0,BTC-USD
2026-03-24 20:00:00+00:00,70043.5078125,70043.5078125,70220.421875,69277.375,69318.796875,871616512,BTC-USD
