Price,Date,Close,High,Low,Open,Volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL
0,2021-05-21,123.69602966308594,124.76823446881733,122.04867596571786,124.5927788416249,79295400
1,2021-05-25,123.69602966308594,125.08018314804377,123.13067172111496,124.59279971373591,72009500
2,2021-05-26,123.64729309082031,124.17366007761332,123.22814942189817,123.75451640869117,56575900
3,2021-05-27,122.11689758300781,124.41731229914974,121.92195020845978,123.24761317833023,94625600
4,2021-05-28,121.46383666992188,122.62379382802953,121.4053539348129,122.39959761550023,71311100
5,2021-06-01,121.14217376708984,122.18515807859856,120.81076166659518,121.92197831860382,67637100
6,2021-06-02,121.9024887084961,122.07794437455699,120.91799449476859,121.14218330115489,59278900
7,2021-06-03,120.42086791992188,121.69779071261881,120.02121601385367,121.53208465063497,76229200
8,2021-06-04,122.71150970458984,122.97469686847107,120.72301503974921,120.93746163646239,75169300
9,2021-06-07,122.72126007080078,123.13065406520676,121.67827588309044,122.98443979955707,71057600
10,2021-06-08,123.54004669189453,125.21662849111421,123.0234294041827,123.40358202860334,74403800
11,2021-06-09,123.92020416259766,124.52455300706954,123.32560491924683,123.99818609803275,56877900
12,2021-06-10,122.92597198486328,124.95345787476269,122.7602659341765,123.81299241371467,71186400
13,2021-06-11,124.1346664428711,124.22239799050632,122.91622643570359,123.33537009563992,53522400
14,2021-06-14,127.18560028076172,127.24408300420586,123.8617007821636,124.59276457227712,96906500
15,2021-06-15,126.36685180664062,127.30262029411195,126.1231638006209,126.65928038857137,62746300
16,2021-06-16,126.86392974853516,127.58525137205336,125.21661184407183,127.0783763157019,91815000
17,2021-06-17,128.4625244140625,129.203345250585,126.37655629930642,126.52277798345058,96721700
18,2021-06-18,127.16613006591797,128.1896075868194,126.95168347380675,127.40981802299594,108953300
19,2021-06-21,128.9596710205078,129.066894317528,125.94769141357571,127.01016734634604,79663300
20,2021-06-22,130.59725952148438,130.69474066397615,128.29684436989922,128.7939773736595,74783600
21,2021-06-23,130.3243408203125,130.92869718078555,129.86620618552573,130.3925806003398,60214200
22,2021-06-24,130.04165649414062,131.240597184488,129.5737648661965,131.05539194095186,68711000
23,2021-06-25,129.7492218017578,130.50952706925113,129.45679326652197,130.09039090512184,70783700
24,2021-06-28,131.37709045410156,131.83522514355917,129.98320205214029,130.04168479997963,62111300
25,2021-06-29,132.887939453125,133.04390333984907,130.95793469390316,131.39657011097157,64556100
26,2021-06-30,133.50201416015625,133.94064949902392,132.43952338561445,132.73195190270366,63261400
27,2021-07-01,133.80418395996094,133.86266668828733,132.33229922059724,133.15110203776288,52485800
28,2021-07-02,136.42626953125,136.46525305919846,134.27206149217562,134.41826831389758,78852600
29,2021-07-06,138.43426513671875,139.53572463895688,136.53350195950557,136.53350195950557,108181800
30,2021-07-07,140.9198760986328,141.231788943126,139.05809657469072,139.91586805219615,104911600
31,2021-07-08,139.62342834472656,140.42271694428075,137.1183095251409,138.00533707496902,105575500
32,2021-07-09,141.44625854492188,141.97261806281588,139.04836216143113,139.1458433075578,99890800
33,2021-07-12,140.85165405273438,142.62570970674338,140.364278087154,142.51848639937432,76299700
34,2021-07-13,141.96287536621094,143.7369310790402,140.00362927408963,140.39352411006757,100827100
35,2021-07-14,145.38424682617188,145.79365573228569,143.95136027537654,144.36076918149035,127050800
36,2021-07-15,144.7311553955078,146.21278242197315,143.37625087333885,145.47197634550716,106820300
37,2021-07-16,142.6939239501953,145.97883295333372,142.19680585690423,144.71166743629377,93251400
38,2021-07-19,138.85342407226562,140.43253247911716,138.09311867670348,140.12060468938105,121434600
39,2021-07-20,142.45997619628906,143.3860023478585,139.35053030452949,139.83790622702588,96350000
40,2021-07-21,141.72894287109375,142.4405225803077,140.97839449756518,141.8556653977963,74993500
41,2021-07-22,143.09361267089844,144.45825967498962,142.12860272787458,142.2553252616605,77338200
42,2021-07-23,144.80914306640625,144.9651069434816,143.2105505102186,143.82464898024415,71447400
43,2021-07-26,145.22828674316406,146.04707474588002,143.97084849928373,144.5264642055409,72434100
44,2021-07-27,143.0643310546875,145.44272791296905,141.87513262554674,145.35498894389306,104818600
45,2021-07-28,141.31956481933594,143.25932698356266,138.94116715524945,141.15385873599058,118931200
46,2021-07-29,141.96287536621094,142.84990322262558,140.92964066468824,141.03686397561236,56699500
47,2021-07-30,142.1772918701172,142.63542638578699,140.4714762953773,140.73466343435456,70440600
48,2021-08-02,141.84591674804688,143.2398049839172,141.58272954059322,142.66470486730785,62880000
49,2021-08-03,143.63946533203125,144.30228959895823,141.51449808960257,142.12859665195967,64786600
50,2021-08-04,143.23977661132812,144.05856456840556,142.5866946784069,143.55170433223327,56368300
51,2021-08-05,143.34698486328125,144.1072900112852,142.47945643165977,143.26900294123843,46397700
