Price,Date,Close,High,Low,Open,Volume
Ticker,,MSFT,MSFT,MSFT,MSFT,MSFT
0,2021-05-21,242.0980682373047,238.83766010110827,235.38489032383154,238.10671616214,21863100
1,2021-05-25,242.0980682373047,243.08869557539978,241.2324763784631,242.14615993513493,17704300
2,2021-05-26,241.87689208984375,243.2714634355035,241.16517303578058,241.819173240438,17771600
3,2021-05-27,239.78024291992188,241.8672939534979,239.7225387391225,241.56914590234834,24426200
4,2021-05-28,240.13604736328125,242.44431686460024,240.0206390246495,241.40559779033563,18270200
5,2021-06-01,237.94317626953125,241.68448117371312,237.52000751313417,241.62677701036466,23213300
6,2021-06-02,237.84703063964844,239.74172912294227,236.4428322679461,238.64530588633542,19406700
7,2021-06-03,236.31781005859375,236.9237185044888,233.7113925974972,235.84653488909666,25307700
8,2021-06-04,241.20361328125,242.0307405997001,238.04899157263242,238.2894353899083,25281100
9,2021-06-07,244.10816955566406,244.3774654468797,240.26106862341163,240.4245686519693,23079200
10,2021-06-08,242.91561889648438,246.22412860795987,242.85790004526086,245.4066136508643,22455000
11,2021-06-09,243.8966064453125,245.76245296444787,243.531141793228,244.10819819545324,17937600
12,2021-06-10,247.40707397460938,247.6186657190944,243.97354371278735,244.56983971513966,24563600
13,2021-06-11,248.03221130371094,248.6092529216704,246.8011109159342,248.12836533933836,18999700
14,2021-06-14,249.955810546875,250.01351471996307,246.98389887756707,248.04185763593912,19150500
15,2021-06-15,248.48428344726562,250.0519820781897,247.83028320585453,249.8403903117265,18038900
16,2021-06-16,247.5417938232422,250.61945794858642,244.69493176022706,249.48456985269812,27220000
17,2021-06-17,250.9272003173828,251.7447152916932,246.22413379282088,246.28183796973158,27565500
18,2021-06-18,249.51332092285156,252.27361091606278,248.85932086299943,249.70568769388964,37202200
19,2021-06-21,252.591064453125,253.44702925067534,248.0611107803367,249.88847807213403,26696100
20,2021-06-22,255.3609619140625,255.6302578162363,252.36982555497457,252.67760068633095,24694100
21,2021-06-23,255.13014221191406,256.63050944325494,254.32225442204245,255.82262165338332,19518700
22,2021-06-24,256.495849609375,257.61151244689773,255.32248260362277,255.9861098893135,21446900
23,2021-06-25,254.88970947265625,257.03447921074826,254.6396678239104,256.0534788555384,25611100
24,2021-06-28,258.4482421875,258.6213546854569,255.74565612665353,256.01495201827004,19590000
25,2021-06-29,261.02581787109375,261.26626170283777,257.7365626894256,258.59252746788644,19937800
26,2021-06-30,260.5448913574219,260.98729972356773,259.29459535920773,260.34292678716713,21656500
27,2021-07-01,261.21820068359375,261.4490173838746,259.29464991177207,259.3042477069135,16725300
28,2021-07-02,267.0368957519531,267.3735229640247,262.0837590204918,262.3915341487316,26458000
29,2021-07-06,267.0465393066406,268.69116688821424,263.8149589636492,267.4023914794495,31565600
30,2021-07-07,269.2298278808594,269.96078670535366,266.55609297412514,268.7200880035307,23260000
31,2021-07-08,266.81573486328125,268.0756582442465,264.36319007014714,266.31559288844903,24618600
32,2021-07-09,267.3157958984375,267.42157707974224,264.79594962280595,265.1806538246266,23916700
33,2021-07-12,266.71954345703125,269.0758754216596,266.0078097490521,268.48920655469243,18931700
34,2021-07-13,270.2396240234375,272.03813906947397,266.7868543506358,266.9118604799698,26120100
35,2021-07-14,271.711181640625,272.8172174966731,269.82608069615287,271.5572940522361,23113700
36,2021-07-15,270.2878112792969,271.7112498157575,269.13366875232185,271.22073483913357,22604200
37,2021-07-16,270.0184631347656,273.24041682866897,268.7777645604806,271.28801379910107,26186800
38,2021-07-19,266.42138671875,269.65293765611636,263.9592442852176,268.2679788683728,32935600
39,2021-07-20,268.6430969238281,270.2300203759046,265.70006671057956,267.40239850810826,26259700
40,2021-07-21,270.6435241699219,270.758932492961,266.6906423505896,268.23908626977857,24364300
41,2021-07-22,275.202392578125,275.4716884823561,272.58636264371466,272.99029182453523,23384100
