Price,Close,High,Low,Open,Volume
Ticker,CDR.WA,CDR.WA,CDR.WA,CDR.WA,CDR.WA
Date,,,,,
2021-05-21,163.3629913330078,166.53582226126076,161.9087837615893,165.7237282019819,659440
2021-05-24,158.84922790527344,162.41866009655251,158.7359171718332,162.41866009655251,463011
2021-05-25,155.71417236328125,163.98620220583445,153.070159034311,159.79353191447876,641936
2021-05-26,152.59803771972656,158.8114845094915,152.59803771972656,155.80863411370328,392376
2021-05-27,165.7237091064453,165.7237091064453,156.2807627186137,156.37519794600908,1112344
2021-05-28,168.63214111328125,172.76815631040316,164.3072698670363,167.80115720658824,598754
2021-05-31,163.9300994873047,170.01165388394222,163.48320518889167,170.01165388394222,525989
2021-06-01,149.0079345703125,153.4962375317253,148.2501695203036,151.66982186050384,1833059
2021-06-02,156.9741973876953,157.1684934644037,148.4444706527858,149.6102619368765,1247488
2021-06-04,166.31997680664062,166.31997680664062,157.20736182694668,160.12184745378212,516368
2021-06-07,164.9210205078125,168.72927992894006,162.35627376199844,165.79537508578755,454673
2021-06-08,166.12567138671875,167.2914626071208,163.21118592379386,164.45469853540132,418030
2021-06-09,171.4689178466797,173.7033599675237,165.93139768552123,168.0686843483036,879838
2021-06-10,169.0401611328125,173.17872525844723,167.66063975760093,172.05180211701355,284215
2021-06-11,180.50381469726562,181.18385838595685,167.89381090236608,169.04016814561123,674704
2021-06-14,181.4558868408203,182.54395680856234,177.45333103904795,180.89241780071347,406463
2021-06-15,193.30812072753906,198.86507474440117,185.4584373273294,186.041340406966,1572918
2021-06-16,180.83412170410156,205.6169597101528,180.69811296471616,201.09951281557122,1529527
2021-06-17,175.8406219482422,181.08668982268708,173.13986662024817,179.72660254378346,843200
2021-06-18,178.61911010742188,178.61911010742188,173.89764278847937,176.81212842180585,889324
2021-06-21,178.15280151367188,179.35744612170683,174.30567384814898,178.61911507730343,256814
2021-06-22,172.71240234375,180.6592401841781,172.07121200275952,177.76417403504144,356451
2021-06-23,172.9261474609375,173.62562519837215,168.10752469459234,172.05180770106446,575110
2021-06-24,174.90798950195312,177.2007187697439,171.50775629774543,172.9261458139904,394299
2021-06-25,174.5971221923828,178.8522760012709,173.89764444780283,174.86913966818162,511215
2021-06-28,180.2123565673828,182.25250238258732,172.98443002920004,174.49996014388222,504103
2021-06-29,182.9908447265625,187.73174626023203,179.7266201142368,179.7266201142368,667808
2021-06-30,179.74606323242188,184.58410564010256,177.39504640260367,182.03879271648418,506269
2021-07-01,183.37942504882812,185.51672630633152,179.82376395210167,179.82376395210167,365127
2021-07-02,184.7783966064453,187.3042902272813,183.4183091637437,184.27321491750985,264189
2021-07-05,186.429931640625,187.40142688590984,183.94290618451038,187.12940940313737,146929
2021-07-06,181.98049926757812,187.01283760028753,181.98049926757812,186.4299345145943,437746
2021-07-07,187.88717651367188,187.9843319687736,181.53360406419415,184.273212976737,407522
2021-07-08,182.13592529296875,188.3729230182053,181.49474969418077,186.52708797300883,319783
2021-07-09,182.64109802246094,184.46751374631447,181.76675826997464,183.74860196006904,220831
2021-07-12,196.0963134765625,196.2420318280868,184.6812447934931,184.7783854198958,1032701
2021-07-13,197.65069580078125,200.27372988033358,195.56198704687708,196.72777832402917,417145
2021-07-14,190.3547821044922,197.40783229949682,189.9273218216723,197.21353621380808,329109
2021-07-15,189.3638458251953,192.0257480550424,187.6151514706914,190.3936283828919,400152
2021-07-16,188.60609436035156,192.31721347085903,187.9843379698391,189.38329355445256,279128
2021-07-19,180.98956298828125,188.47007323972915,179.37687736057003,188.08148108011136,508610
2021-07-20,182.25250244140625,183.41829369739648,179.86261776636223,181.53359066868958,399604
2021-07-21,179.221435546875,188.70323846132354,175.2577332369755,182.64110290079944,415891
2021-07-22,180.73696899414062,185.5555919354787,179.95978465662506,181.9610624910256,254135
2021-07-23,180.9701385498047,183.6903282832008,180.56211231337147,182.15536397061413,219461
