Date,Close,High,Low,Open,Volume
2000-01-03,35.975364685058594,35.975364685058594,34.04121205472555,34.195957971673316,46013
2000-01-04,35.20173645019531,35.78190727171246,34.814831083698664,34.814831083698664,90735
2000-01-05,35.0082893371582,35.16303525838154,34.428026575504866,34.62147928953369,54291
2000-01-06,35.16303253173828,35.781910190383044,34.930961358115304,34.930961358115304,67689
2000-01-07,40.23048400878906,40.23048400878906,37.522707738756225,37.522707738756225,67172
2000-01-10,40.23048400878906,40.23048400878906,40.23048400878906,40.23048400878906,0
2000-01-11,46.41983413696289,47.386910261420454,43.131703955128806,43.131703955128806,227774
2000-01-12,44.67905044555664,45.45276588122802,44.48568958935149,44.48568958935149,129624
2000-01-13,45.839576721191406,46.41983941840326,44.48568694942897,44.48568694942897,86834
2000-01-14,42.35808563232422,43.71197188144463,41.00419585059553,43.71197188144463,52636
2000-01-17,43.325164794921875,43.325164794921875,41.391012181308945,41.391012181308945,53201
2000-01-18,41.19755554199219,43.71197065620899,40.230479327493114,43.71197065620899,36375
2000-01-19,39.45685958862305,39.45685958862305,38.489783281303666,38.64452566438727,66590
2000-01-20,38.68323516845703,39.45685875226401,38.48978246544355,38.644524845247105,66590
2000-01-21,38.567108154296875,39.070045622431834,38.29633018232235,39.070045622431834,51043
2000-01-24,36.594329833984375,37.754766758829916,36.594329833984375,37.754766758829916,53604
2000-01-25,34.81483840942383,36.16882024883863,34.04121474187275,35.588557457412925,91458
2000-01-26,36.74898910522461,37.25193012633134,36.20743667195742,36.43959617751763,77453
2000-01-27,36.74898910522461,36.74898910522461,36.74898910522461,36.74898910522461,0
2000-01-28,39.65031433105469,41.004200741669756,38.29633254000501,39.07004802774766,74029
2000-01-31,41.39100646972656,41.77781644994356,38.29632526933356,39.07004061018405,48717
2000-02-01,47.58027648925781,47.58027648925781,43.71197155198916,45.64612402062348,17133
2000-02-02,50.48160171508789,51.25522532853898,46.80665728218183,47.773733606059224,124473
2000-02-03,57.251129150390625,59.18528156734092,57.251129150390625,57.63794267726158,42217
2000-02-04,56.86432647705078,57.637950097783694,54.15645480992538,57.25113652111294,21946
2000-02-07,60.92598342895508,61.89306320387975,54.54326327314713,55.510339515463535,172911
2000-02-08,66.53509521484375,67.30872247214081,63.440416620419825,63.827322096904346,74714
2000-02-09,66.53509521484375,66.53509521484375,66.53509521484375,66.53509521484375,0
2000-02-10,73.11125946044922,75.43222558203904,69.2429543302655,69.2429543302655,120302
2000-02-11,72.7243423461914,78.33343828396103,72.33752885197744,78.33343828396103,101356
2000-02-14,72.53099060058594,72.72435144799093,68.4692329139122,68.85604645653773,60915
